Primer Autor	Año Publicación	Tipo Producto	Journal	Afiliación	Publisher	Base Datos	Citaciones
F. Chaabane	2020	CONF	IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium	No encontrado	No encontrado	No encontrado	0
G. Thomas	2014	CONF	2014 IEEE International Instrumentation and Measurement Technology Conference (I2MTC) Proceedings	No encontrado	No encontrado	No encontrado	0
J. A. Soria-Alcaraz	2010	CONF	2010 IEEE Electronics, Robotics and Automotive Mechanics Conference	No encontrado	No encontrado	No encontrado	0
T. Darrah	2018	CONF	ISR 2018; 50th International Symposium on Robotics	No encontrado	No encontrado	No encontrado	0
M. Jäger	2018	CONF	2018 17th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/ 12th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE)	No encontrado	No encontrado	No encontrado	0
Sergio Rufino Henrique Paulo	2023	CHAP	No encontrado	No encontrado	River Publishers	No encontrado	0
V. Chung	2023	CONF	2023 IEEE 3rd International Conference on Advanced Learning Technologies on Education & Research (ICALTER)	No encontrado	No encontrado	No encontrado	0
G. Ferrin	2009	CONF	2009 12th International Conference on Information Fusion	No encontrado	No encontrado	No encontrado	0
Cianca Ernestina	2023	CHAP	No encontrado	No encontrado	River Publishers	No encontrado	0
A. Lai	2022	CONF	2022 IEEE International Conference on Consumer Electronics - Taiwan	No encontrado	No encontrado	No encontrado	0
M. Ichien	2017	CONF	OCEANS 2017 - Anchorage	No encontrado	No encontrado	No encontrado	0
C. -W. Chuang	2022	CONF	2022 18th IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications (MESA)	No encontrado	No encontrado	No encontrado	0
S. B. P.	2024	CONF	2024 7th International Conference on Devices, Circuits and Systems (ICDCS)	No encontrado	No encontrado	No encontrado	0
J. Tabbal	2023	CONF	2023 Seventh International Conference on Advances in Biomedical Engineering (ICABME)	No encontrado	No encontrado	No encontrado	0
Chen Kwang-Cheng	2023	CHAP	No encontrado	No encontrado	River Publishers	No encontrado	0
T. Yamamoto	2019	CONF	2019 Pacific Neighborhood Consortium Annual Conference and Joint Meetings (PNC)	No encontrado	No encontrado	No encontrado	0
T. Sandner	2010	CONF	2010 Workshops on Database and Expert Systems Applications	No encontrado	No encontrado	No encontrado	0
S. Shruthi	2017	CONF	2017 International Conference on Communication and Signal Processing (ICCSP)	No encontrado	No encontrado	No encontrado	0
A. S. Marcolino	2019	CONF	2019 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
A. Bhagtani	2017	CONF	2017 3rd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT)	No encontrado	No encontrado	No encontrado	0
K. Bevan	2021	CONF	2021 Conference on Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	No encontrado	No encontrado	No encontrado	0
J. Muhammad	2015	CONF	2015 Research in Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	No encontrado	No encontrado	No encontrado	0
S. Jinnouchi	2023	CONF	2023 30th Asia-Pacific Software Engineering Conference (APSEC)	No encontrado	No encontrado	No encontrado	0
C. Sofia Rute	2023	CHAP	No encontrado	No encontrado	River Publishers	No encontrado	0
A. García	2023	CONF	2023 XIII International Conference on Virtual Campus (JICV)	No encontrado	No encontrado	No encontrado	0
Y. Fajar	2022	CONF	2022 7th International Conference on Business and Industrial Research (ICBIR)	No encontrado	No encontrado	No encontrado	0
C. A. Delacoudray	2021	CONF	2021 Conference on Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	No encontrado	No encontrado	No encontrado	0
C. Sofia Rute	2023	CHAP	No encontrado	No encontrado	River Publishers	No encontrado	0
Jin Zeng	2012	CONF	World Automation Congress 2012	No encontrado	No encontrado	No encontrado	0
S. Zhang	2009	CONF	2009 First International Workshop on Education Technology and Computer Science	No encontrado	No encontrado	No encontrado	0
M. Saraf	2011	CONF	2011 1st International eConference on Computer and Knowledge Engineering (ICCKE)	No encontrado	No encontrado	No encontrado	0
X. Tong	2023	CONF	2023 3rd International Symposium on Computer Technology and Information Science (ISCTIS)	No encontrado	No encontrado	No encontrado	0
J. -H. Kim	2011	CONF	2011 International Conference on Pattern Analysis and Intelligence Robotics	No encontrado	No encontrado	No encontrado	0
Mengying Zhang	2012	CONF	7th International Conference on Communications and Networking in China	No encontrado	No encontrado	No encontrado	0
B. S. Gautham	2017	CONF	2017 International Conference on Energy, Communication, Data Analytics and Soft Computing (ICECDS)	No encontrado	No encontrado	No encontrado	0
G. Manikandan	2023	CONF	2023 International Conference on New Frontiers in Communication, Automation, Management and Security (ICCAMS)	No encontrado	No encontrado	No encontrado	0
A. Marinoni	2020	CONF	IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium	No encontrado	No encontrado	No encontrado	0
Mikael Wiberg	2018	CHAP	No encontrado	No encontrado	MIT Press	No encontrado	0
S. R. Kumar	2023	CONF	2023 2nd International Conference on Smart Technologies and Systems for Next Generation Computing (ICSTSN)	No encontrado	No encontrado	No encontrado	0
Y. B. Kafai	2019	CONF	2019 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	No encontrado	No encontrado	No encontrado	0
T. K. Mohd	2022	CONF	2022 IEEE International Conference on Electro Information Technology (eIT)	No encontrado	No encontrado	No encontrado	0
No encontrado	2023	CHAP	No encontrado	No encontrado	River Publishers	No encontrado	0
F. M. Zakirova	2020	CONF	2020 International Conference on Information Science and Communications Technologies (ICISCT)	No encontrado	No encontrado	No encontrado	0
B. Shapiro	2017	CONF	2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	No encontrado	No encontrado	No encontrado	0
No encontrado	2023	CHAP	No encontrado	No encontrado	River Publishers	No encontrado	0
J. Filipe Rozeno Rodrigues	2018	CONF	2018 XIII Latin American Conference on Learning Technologies (LACLO)	No encontrado	No encontrado	No encontrado	0
A. Singh	2015	CONF	2015 2nd International Conference on Computing for Sustainable Global Development (INDIACom)	No encontrado	No encontrado	No encontrado	0
T. Bahr	2024	CONF	2024 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
C. -H. Tseng	2023	CONF	2023 IEEE 3rd International Conference on Electronic Communications, Internet of Things and Big Data (ICEIB)	No encontrado	No encontrado	No encontrado	0
E. J. De Rezende Freitas	2023	CONF	2023 Latin American Robotics Symposium (LARS), 2023 Brazilian Symposium on Robotics (SBR), and 2023 Workshop on Robotics in Education (WRE)	No encontrado	No encontrado	No encontrado	0
J. A. Rodrigues	2016	CONF	2016 2nd International Conference of the Portuguese Society for Engineering Education (CISPEE)	No encontrado	No encontrado	No encontrado	0
W. Zhang	2022	CONF	Fourth International Conference on Computer Science and Educational Informatization (CSEI 2022)	No encontrado	No encontrado	No encontrado	0
E. Ramírez-Trejos	2023	CONF	2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC)	No encontrado	No encontrado	No encontrado	0
Y. Sun	2024	CONF	2024 6th International Conference on Computer Science and Technologies in Education (CSTE)	No encontrado	No encontrado	No encontrado	0
A. Pretelli	2022	CONF	2022 IEEE 2nd IoT Vertical and Topical Summit for Tourism (IoTT)	No encontrado	No encontrado	No encontrado	0
A. C. Bortoletto	2016	CONF	2016 IEEE International Symposium on Consumer Electronics (ISCE)	No encontrado	No encontrado	No encontrado	0
G. Tzimpragos	2021	JOUR	IEEE Micro	No encontrado	No encontrado	No encontrado	0
L. Lobo de Aguiar Gomes	2018	CONF	2018 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
I. Possaghi	2024	CONF	2024 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
T. Oliveira	2019	JOUR	IEEE Latin America Transactions	No encontrado	No encontrado	No encontrado	0
J. Jia	2019	CONF	2019 12th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)	No encontrado	No encontrado	No encontrado	0
K. Fekete	2014	CONF	2014 IEEE 36th International Telecommunications Energy Conference (INTELEC)	No encontrado	No encontrado	No encontrado	0
N. B. Yahia	2021	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
Z. Wang	2022	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
N. S. Dey	2019	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
M. Simonetti	2023	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
T. S. Rappaport	2019	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
M. M. Cummings	2014	JOUR	IEEE Intelligent Systems	No encontrado	No encontrado	No encontrado	0
X. -S. Yang	2016	JOUR	Computer	No encontrado	No encontrado	No encontrado	0
X. Wang	2023	JOUR	IEEE/CAA Journal of Automatica Sinica	No encontrado	No encontrado	No encontrado	0
W. S. Burleson	2018	JOUR	IEEE Transactions on Learning Technologies	No encontrado	No encontrado	No encontrado	0
Y. Wang	2018	JOUR	IEEE Transactions on Automation Science and Engineering	No encontrado	No encontrado	No encontrado	0
J. López-Belmonte	2020	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
M. E. Aragón	2023	JOUR	IEEE Transactions on Affective Computing	No encontrado	No encontrado	No encontrado	0
P. Plaza	2018	CONF	2018 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
R. AL MOGBIL	2020	CONF	2020 International Conference on Computing and Information Technology (ICCIT-1441)	No encontrado	No encontrado	No encontrado	0
W. Li	2016	CONF	2016 International Conference on Distributed Computing in Sensor Systems (DCOSS)	No encontrado	No encontrado	No encontrado	0
D. Felipe	2014	CONF	2014 IEEE Congress on Evolutionary Computation (CEC)	No encontrado	No encontrado	No encontrado	0
G. Bedi	2016	CONF	2016 IEEE International Conference on Information and Automation for Sustainability (ICIAfS)	No encontrado	No encontrado	No encontrado	0
R. Gopinath	2016	CONF	2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE)	No encontrado	No encontrado	No encontrado	0
P. Plaza	2018	CONF	2018 XIII Technologies Applied to Electronics Teaching Conference (TAEE)	No encontrado	No encontrado	No encontrado	0
F. Maiorana	2015	CONF	2015 IEEE Blocks and Beyond Workshop (Blocks and Beyond)	No encontrado	No encontrado	No encontrado	0
S. Gao	2013	CONF	2013 Fourth International Conference on Computing for Geospatial Research and Application	No encontrado	No encontrado	No encontrado	0
J. Tian	2019	CONF	2019 IEEE International Workshop on Signal Processing Systems (SiPS)	No encontrado	No encontrado	No encontrado	0
A. Zhang	2019	JOUR	IEEE Journal of Biomedical and Health Informatics	No encontrado	No encontrado	No encontrado	0
F. Turbak	2012	CONF	2012 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	No encontrado	No encontrado	No encontrado	0
M. I. Calderon Ribeiro	2020	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
A. Karmakar	2022	CONF	2022 International Conference on Sustainable Computing and Data Communication Systems (ICSCDS)	No encontrado	No encontrado	No encontrado	0
P. Plaza	2020	CONF	2020 IEEE Learning With MOOCS (LWMOOCS)	No encontrado	No encontrado	No encontrado	0
H. Espeland	2011	CONF	2011 40th International Conference on Parallel Processing Workshops	No encontrado	No encontrado	No encontrado	0
V. Kamra	2021	CONF	2021 3rd International Conference on Signal Processing and Communication (ICPSC)	No encontrado	No encontrado	No encontrado	0
R. I. Bonilla	2020	CONF	2020 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
J. Figueiredo	2021	CONF	2021 International Symposium on Computers in Education (SIIE)	No encontrado	No encontrado	No encontrado	0
P. Missier	2010	CONF	2010 6th World Congress on Services	No encontrado	No encontrado	No encontrado	0
R. Martoglia	2021	CONF	2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)	No encontrado	No encontrado	No encontrado	0
R. Stower	2020	CONF	2020 29th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)	No encontrado	No encontrado	No encontrado	0
K. Liang	2022	CONF	2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)	No encontrado	No encontrado	No encontrado	0
W. M. Hassan	2022	CONF	2022 ASU International Conference in Emerging Technologies for Sustainability and Intelligent Systems (ICETSIS)	No encontrado	No encontrado	No encontrado	0
L. de Oliveira Brandão	2018	CONF	2018 XIII Latin American Conference on Learning Technologies (LACLO)	No encontrado	No encontrado	No encontrado	0
Z. Wang	2014	CONF	2014 52nd Annual Allerton Conference on Communication, Control, and Computing (Allerton)	No encontrado	No encontrado	No encontrado	0
H. Singh	2021	CONF	2021 10th International Conference on System Modeling & Advancement in Research Trends (SMART)	No encontrado	No encontrado	No encontrado	0
C. Álvarez	2019	CONF	2019 38th International Conference of the Chilean Computer Science Society (SCCC)	No encontrado	No encontrado	No encontrado	0
Y. Jiang	2020	CONF	2020 International Wireless Communications and Mobile Computing (IWCMC)	No encontrado	No encontrado	No encontrado	0
B. Attallah	2019	CONF	2019 Sixth HCT Information Technology Trends (ITT)	No encontrado	No encontrado	No encontrado	0
M. Jiffriya	2015	CONF	2015 IEEE 10th International Conference on Industrial and Information Systems (ICIIS)	No encontrado	No encontrado	No encontrado	0
J. A. Brown	2020	CONF	2020 IEEE Congress on Evolutionary Computation (CEC)	No encontrado	No encontrado	No encontrado	0
J. Chen	2012	CONF	2012 IEEE Sixth International Conference on Software Security and Reliability Companion	No encontrado	No encontrado	No encontrado	0
M. De La Rosa	2019	CONF	2019 IEEE 14th International Symposium on Autonomous Decentralized System (ISADS)	No encontrado	No encontrado	No encontrado	0
G. Miller	2016	CONF	2016 15th International Conference on Information Technology Based Higher Education and Training (ITHET)	No encontrado	No encontrado	No encontrado	0
T. K. Mufeti	2017	CONF	2017 IST-Africa Week Conference (IST-Africa)	No encontrado	No encontrado	No encontrado	0
A. Joshi	2018	CONF	2018 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
N. Sinha	2023	CONF	2023 32nd Wireless and Optical Communications Conference (WOCC)	No encontrado	No encontrado	No encontrado	0
X. Liu	2021	CONF	2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)	No encontrado	No encontrado	No encontrado	0
Sumaiya	2019	CONF	2019 Women Institute of Technology Conference on Electrical and Computer Engineering (WITCON ECE)	No encontrado	No encontrado	No encontrado	0
I. Groher	2022	CONF	2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)	No encontrado	No encontrado	No encontrado	0
L. Sanneman	2015	CONF	2015 IEEE International Conference on Robotics and Automation (ICRA)	No encontrado	No encontrado	No encontrado	0
L. Tighzert	2016	CONF	2016 8th International Conference on Modelling, Identification and Control (ICMIC)	No encontrado	No encontrado	No encontrado	0
M. Knobelsdorf	2017	CONF	2017 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
K. Zarkadoula	2022	CONF	2022 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
M. Paredes-Velasco	2024	JOUR	IEEE Transactions on Learning Technologies	No encontrado	No encontrado	No encontrado	0
D. Liu	2014	CONF	2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)	No encontrado	No encontrado	No encontrado	0
Y. -T. Li	2014	CONF	2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)	No encontrado	No encontrado	No encontrado	0
E. O’Shea	2020	CONF	2020 IEEE International Conference on Big Data (Big Data)	No encontrado	No encontrado	No encontrado	0
H. Jeong	2022	CONF	2022 IEEE 19th International Conference on Mobile Ad Hoc and Smart Systems (MASS)	No encontrado	No encontrado	No encontrado	0
G. Jain	2022	CONF	2022 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
V. Bremgartner	2017	CONF	2017 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
T. -C. Hsu	2023	CONF	2023 International Conference on Artificial Intelligence and Education (ICAIE)	No encontrado	No encontrado	No encontrado	0
M. R. Kabir	2021	CONF	2021 International Conference on Automation, Control and Mechatronics for Industry 4.0 (ACMI)	No encontrado	No encontrado	No encontrado	0
W. Gong	2018	CONF	2018 European Control Conference (ECC)	No encontrado	No encontrado	No encontrado	0
J. A. Gonzalez-Mendivil	2024	CONF	2024 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
S. Kjällander	2022	CONF	2022 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
G. Galimberti	2021	CONF	2021 5th International Conference on Vision, Image and Signal Processing (ICVISP)	No encontrado	No encontrado	No encontrado	0
Herbert L. Roitblat	2020	CHAP	No encontrado	No encontrado	MIT Press	No encontrado	0
de Cola Tomaso	2023	CHAP	No encontrado	No encontrado	River Publishers	No encontrado	0
Z. Yuan	2024	CONF	2024 7th International Conference on Artificial Intelligence and Big Data (ICAIBD)	No encontrado	No encontrado	No encontrado	0
Meredith Broussard	2023	CHAP	No encontrado	No encontrado	MIT Press	No encontrado	0
Meredith Broussard	2023	CHAP	No encontrado	No encontrado	MIT Press	No encontrado	0
C. Sofia Rute	2023	CHAP	No encontrado	No encontrado	River Publishers	No encontrado	0
R. E. Burnett	2014	CONF	2014 IEEE Conference on Norbert Wiener in the 21st Century (21CW)	No encontrado	No encontrado	No encontrado	0
M. Onofrei	2017	CONF	2017 International Conference on Speech Technology and Human-Computer Dialogue (SpeD)	No encontrado	No encontrado	No encontrado	0
S. S. Chavan	2021	CONF	2021 Third International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV)	No encontrado	No encontrado	No encontrado	0
M. Mendes Paulo	2023	CHAP	No encontrado	No encontrado	River Publishers	No encontrado	0
N. H. Noordin	2022	CONF	8th International Conference on Mechatronics Engineering (ICOM 2022)	No encontrado	No encontrado	No encontrado	0
R. I. Maxim	2024	CONF	2024 IEEE Gaming, Entertainment, and Media Conference (GEM)	No encontrado	No encontrado	No encontrado	0
P. Hegade	2023	CONF	2023 2nd Edition of IEEE Delhi Section Flagship Conference (DELCON)	No encontrado	No encontrado	No encontrado	0
Oliver Bown	2021	CHAP	No encontrado	No encontrado	MIT Press	No encontrado	0
R. Ambros	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
M. Worsley	2022	CONF	2022 Conference on Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	No encontrado	No encontrado	No encontrado	0
I. M. L. Souza	2022	CONF	2022 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
S. Criollo-C	2024	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
V. Kumar	2024	CONF	2024 4th International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE)	No encontrado	No encontrado	No encontrado	0
P. Morrow	2021	CONF	2021 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
Y. C. Sharma	2022	CONF	2022 International Interdisciplinary Humanitarian Conference for Sustainability (IIHC)	No encontrado	No encontrado	No encontrado	0
D. A. Qatish	2023	CONF	2023 IEEE 3rd International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering (MI-STA)	No encontrado	No encontrado	No encontrado	0
J. Díaz	2022	CONF	2022 41st International Conference of the Chilean Computer Science Society (SCCC)	No encontrado	No encontrado	No encontrado	0
A. Patel	2018	JOUR	Journal of Web Engineering	No encontrado	No encontrado	No encontrado	0
Isabel Pedersen	2020	CHAP	No encontrado	No encontrado	MIT Press	No encontrado	0
M. J. A. Junaid	2020	CONF	2020 International Conference on Computation, Automation and Knowledge Management (ICCAKM)	No encontrado	No encontrado	No encontrado	0
A. Chatzopoulos	2024	CONF	2024 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
Peyman Setoodeh	2017	CHAP	No encontrado	No encontrado	Wiley	No encontrado	0
V. Sklyarov	2013	CONF	Eurocon 2013	No encontrado	No encontrado	No encontrado	0
S. Moses J.	2015	CONF	2015 International Conference on Green Computing and Internet of Things (ICGCIoT)	No encontrado	No encontrado	No encontrado	0
A. A. S J	2022	CONF	2022 Second International Conference on Next Generation Intelligent Systems (ICNGIS)	No encontrado	No encontrado	No encontrado	0
J. Ma	2015	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
No encontrado	2010	STD	ISO/IEC/IEEE 24765:2010(E)	No encontrado	No encontrado	No encontrado	0
A. L’Heureux	2017	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
M. K. Hussein	2020	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
A. Shoufan	2023	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
A. Kashevnik	2021	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
N. Ahmad	2022	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
H. Ahmad	2021	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
A. A. AlZubi	2023	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
M. A. Tocoglu	2019	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
D. He	2018	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
W. Tian	2020	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
R. Yang	2021	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
